ID_W,WAVE OF SURVEY=YEAR
N66.2,IN SOME TIME RETURN MONEY OF MC AND TRANSFER TO CHILD(REN) EDUCATION
N66.3,IN SOME TIME RETURN MONEY OF MC AND TRANSFER TO LIVING CONDITIONS IMPROVEMEN
N68,HAVE YOU DRAWN UP THE CERTIFICATE FOR MATERNAL CAPITAL GETTING?
N69,WHY HAVE NOT YOU DRAWN UP THE CERTIFICATE FOR MATERNAL CAPITAL GETTING?
N70,DID YOU GIVE BIRTH AFTER 1 JANUARY OF 2007 YEAR?
N71,WHAT IS THE NUMBER OF THE CHILD YOU HAVE GIVEN BIRTH?
N72,ARE YOU GOING TO GIVE BIRTH TO THE BABY?
N73,WHAT IS THE NUMBER OF THE CHILD YOU ARE PREGNANT?
N124,HAVE YOU ALREADY USED MATERNITY CAPITAL?
N123,HAVE YOU  OR WILL HAVE AFTER GIVING BIRTH THE RIGHT TO RECEIVE MATERNITY CAPITA
N125.1,AS YOU ORDERED A MEANS OF OBTAINING MATERNITY CAPITAL? YOU HAVE SENT THE FUND TO THE FUNDED PART OF THE PENSION?
N125.2,AS YOU ORDERED A MEANS OF OBTAINING MATERNITY CAPITAL? YOU HAVE DIRECTED THES FUNDS TO IMPROVE HOUSING CONDITIONS?
N125.3,AS YOU ORDERED A MEANS OF OBTAINING MATERNITY CAPITAL? YOU SENT THOSE FUNDS T EDUCATION (CHILD / CHILDREN)?
N67,IN HOW MANY YEARS AFTER CHILD`S BIRTH WILL YOU USE MATERNAL CAPITAL MONEY?
N126.1,YOU WILL DIRECT MEANS OF THE PARENT CAPITAL IN THE FUNDED PART OF THE PENSION?
N126.2,YOU WILL SEND MONEY MATERNITY CAPITAL TO IMPROVE THEIR LIVING CONDITIONS?
N126.3,YOU WILL SEND FUNDS TO THE PARENT CAPITAL FORMATION (CHILD / CHILDREN)?
O1,WORKED IN LAST 7 DAYS?
O2A,HOURS WORKING LAST 7 DAYS
O2B,MINUTES WORKING LAST 7 DAYS
O3A,HOURS COMMUTING LAST 7 DAYS
O3B,MINUTES COMMUTING LAST 7 DAYS
O4,GARDENED IN LAST 7 DAYS?
O5A,HOURS GARDENING LAST 7 DAYS
O5B,MINUTES GARDENING LAST 7 DAYS
O14,BOUGHT FOOD IN LAST 7 DAYS?
O15A,HOURS BUYING FOOD LAST 7 DAYS
O15B,MINUTES BUYING FOOD LAST 7 DAYS
O16,COOKED_WASHED DISHES LAST 7 DAYS?
O17A,HOURS COOKING_WASHING DISHES L7D
O17B,MINUTES COOKING_WASHING DISHES L7D
O18,CLEANED HOUSEHOLD LAST 7 DAYS?
O18A,"CLEANED, STRAIGHTENED HOUSEHOLD LAST 7 DAYS?"
O19A,HOURS CLEANING HOUSEHOLD LAST 7D
O19B,MINUTES CLEANING HOUSEHOLD LAST 7D
O19AA,"HOURS CLEANING, STRAIGHTENING HOUSEHOLD LAST 7D"
O19AB,"MINUTES CLEANING, STRAIGHTENING HOUSEHOLD LAST 7D"
O20,DID LAUNDRY_IRONED LAST 7 DAYS?
O20A,DID LAUNDRY_IRONED_REPAIRING_MAKING_ LAST 7 DAYS?
O21A,HOURS DOING LAUNDRY_IRONING LAST 7D
O21B,MINUTES DOING LAUNDRY_IRONING L7D
O21AA,HOURS DOING LAUNDRY_IRONING_REPAIRING_MAKING_ LAST 7D
O21AB,MINUTES DOING LAUNDRY_IRONING_REPAIRING_MAKING_ LAST 7D
O22,CARED FOR HH CHILDREN LAST 7 DAYS?
O23A,HOURS CARING FOR HH CHILDREN L7D
O23B,MINUTES CARING FOR HH CHILDREN L7D
O24,CARED FOR NON-HH KIDS LAST 7 DAYS?
O25A,HOURS CARING FOR NON-HH CHILDREN
O25B,MINUTES CARING FOR NON-HH CHILDREN
O26,FATHER MORE THAN 50 YEARS OLD?
O27,FATHER NEEDS HELP DRESSING_EATING?
O28,HELPED FATHER IN LAST 7 DAYS?
O29A,HOURS SPENT HELPING FATHER L7D
O29B,MINUTES SPENT HELPING FATHER L7D
O30,MOTHER MORE THAN 50 YEARS OLD?
O31,MOTHER NEEDS HELP DRESSING_EATING?
O32,HELPED MOTHER IN LAST 7 DAYS?
O33A,HOURS SPENT HELPING MOTHER L7D
O33B,MINUTES SPENT HELPING MOTHER L7D
O34,OTHER RELATIVES_FRIENDS >50 YEARS?
O35,OTHERS >50 YEARS OLD NEED HELP?
O36,HELPED OTHERS >50 YRS LAST 7 DAYS?
O37A,HOURS HELPING OTHERS >50 YEARS L7D
O37B,MINUTES HELPING OTHERS >50 YRS L7D
O38A,HOURS SPENT SLEEPING LAST 7 DAYS
O38B,MINUTES SPENT SLEEPING LAST 7 DAYS
O39,PLANNING TO MOVE TO ANOTHER PLACE IN THE NEXT 12 MONTHS?
H11,NO. OF ADULT ANSWERING SURVEY--C.COV11
K1,FINISHED ONE GRADE OF SCHOOL?
K4,FAMILY PAID FOR SCHOOL QUARTER?
K5,AMOUNT PAID FOR SCHOOL QUARTER
K6,FAMILY PAID FOR TEXTBOOKS?
K7,AMOUNT PAID FOR TEXTBOOKS
K7.1,ATTENDS NE CLASSES AT SCHOOL?
K7.2,FREQUENCY OF PHYS. ED. CLASSES
K7.3.1A,KARATE IN PHYS. ED.?
K7.3.1B,KARATE IN PE--HOURS PER WEEK
K7.3.1C,KARATE IN PE--MIN PER WEEK
K7.3.2A,SPORTS IN PHYS. ED.?
K7.3.2B,SPORTS IN PE--HOURS PER WEEK
K7.3.2C,SPORTS IN PE--MIN PER WEEK
K7.3.3A,TRACK IN PHYS. ED.?
K7.3.3B,TRACK IN PE--HOURS PER WEEK
K7.3.3C,TRACK IN PE--MIN PER WEEK
K7.3.4A,OTHER ACTIVITY IN PHYS. ED.?
K7.3.4B,OTHER ACT. IN PE--HOURS_WEEK
K7.3.4C,OTHER ACT. IN PE--MIN_WEEK
K7.4,PHYSICAL ACTIVITY OUTSIDE CLASS?
K7.5,FREQUENCY OF ACT. OUTSIDE CLASS
K7.6.1A,KARATE OUTSIDE PHYS. ED.?
K7.6.1B,KARATE OUTSIDE PE--HOURS_WEEK
K7.6.1C,KARATE OUTSIDE PE--MIN_WEEK
K7.6.2A,SPORTS OUTSIDE PHYS. ED.?
K7.6.2B,SPORTS OUTSIDE PE--HOURS_WEEK
K7.6.2C,SPORTS OUTSIDE PE--MIN_WEEK
K7.6.3A,TRACK OUTSIDE PHYS. ED.?
K7.6.3B,TRACK OUTSIDE PE--HOURS_WEEK
K7.6.3C,TRACK OUTSIDE PE--MIN_WEEK
K7.6.4A,OTHER ACTIVITY OUTSIDE PE?
K7.6.4B,OTHER ACT. OUTSIDE PE--HRS_WK
K7.6.4C,OTHER ACT. OUTSIDE PE--MIN_WK
K761.1A,DRAWING_MUSIC OUTSIDE ED.?
K761.1B,DRAWING_MUSIC OUTSIDE E--HOURS_WEEK
K761.1C,DRAWING_MUSIC OUTSIDE E--MIN_WEEK
K761.2A,DANCES OUTSIDE ED.?
K761.2B,DANCES OUTSIDE E--HOURS_WEEK
K761.2C,DANCES OUTSIDE E--MIN_WEEK
K761.3A,STUDY GROUP OUTSIDE ED.?
K761.3B,STUDY GROUP OUTSIDE E--HOURS_WEEK
K761.3C,STUDY GROUP OUTSIDE E--MIN_WEEK
K7.7A2A,READS OUTSIDE SCHOOL?
K7.7A2B,READS OUTSIDE SCHOOL--HRS_WEEK
K7.7A2C,READS OUTSIDE SCHOOL--MIN_WEEK
K7.7A3A,PLAYS GAMES OUTSIDE SCHOOL?
K7.7A3B,GAMES OUTSIDE SCHOOL--HRS_WEEK
K7.7A3C,GAMES OUTSIDE SCHOOL--MIN_WEEK
K7.7.1A,WATCHES TV OUTSIDE SCHOOL?
K7.7.1B,TV OUTSIDE SCHOOL--HOURS_DAY
K7.7.1C,TV OUTSIDE SCHOOL--MIN_DAY
K7.7.2A,READS OUTSIDE SCHOOL?--C.K7.7.2
K7.7.2B,READS OUTSIDE SCHOOL--HRS_DAY
K7.7.2C,READS OUTSIDE SCHOOL--MIN_DAY
K7.7.7A,SURFING NET OUTSIDE SCHOOL?
K7.7.7B,NET OUTSIDE SCHOOL--HOURS_DAY
K7.7.7C,NET OUTSIDE SCHOOL--MIN_DAY
K7.7.3A,PLAYS GAMES OUTSIDE SCHOOL?
K7.7.3B,GAMES OUTSIDE SCHOOL--HRS_DAY
K7.7.3C,GAMES OUTSIDE SCHOOL--MIN_DAY
K7.7.6A,READING OUTSIDE SCHOOL?
K7.7.6B,READING OUTSIDE SCHOOL--HOURS_DAY
K7.7.6C,READING OUTSIDE SCHOOL--MIN_DAY
K7.7.4A,HOMEWORK OUTSIDE SCHOOL?
K7.7.4B,HOMEWORK OUTSIDE SCHOOL--HOURS_DAY
K7.7.4C,HOMEWORK OUTSIDE SCHOOL--MIN_DAY
K7.7.5A,DRAWING OUTSIDE SCHOOL?
K7.7.5B,DRAWING OUTSIDE SCHOOL--HOURS_DAY
K7.7.5C,DRAWING OUTSIDE SCHOOL--MIN_DAY
K771.1A,SPORTS WITH PARENTS?
K771.1B,SPORTS WITH PARENTS--HOURS_WEEK
K771.1C,SPORTS WITH PARENTS--MIN_WEEK
K771.2A,CREATIVITY WITH PARENTS?
K771.2B,CREATIVITY WITH PARENTS--HOURS_WEEK
K771.2C,CREATIVITY WITH PARENTS--MIN_WEEK
K771.3A,HOMEWORK WITH PARENTS?
K771.3B,HOMEWORK WITH PARENTS--HOURS_WEEK
K771.3C,HOMEWORK WITH PARENTS--MIN_WEEK
K771.4A,DEEPER STUDYING WITH PARENTS?
K771.4B,DEEPER STUDYING WITH PARENTS--HOURS_WEEK
K771.4C,DEEPER STUDYING WITH PARENTS--MIN_WEEK
J360.4,HAVE A PLAY STATION PORTABLE?
K7.8.1A,GOES TO SCHOOL BY CAR?
K7.8.1B,TO SCHOOL BY CAR--MINUTES
K7.82A,ROUND-TRIP TIME TO SCHOOL--HRS
K7.82B,ROUND-TRIP TIME TO SCHOOL--MIN
K7.8.3A,RIDES BICYCLE TO SCHOOL?
K7.8.3B,TO SCHOOL BY BICYCLE--MINUTES
K7.8.1,MODE OF TRANSPORT TO SCHOOL
K7.8.2,ROUND-TRIP TIME TO SCHOOL
K7.8.2A,ROUND-TRIP TIME TO SCHOOL--HRS
K7.8.2B,ROUND-TRIP TIME TO SCHOOL--MIN
K8.1A,NOT IN SCHOOL--NOT YET 7?
K8.1,NOT IN SCHOOL--NOT YET?
K8.2,NOT IN SCHOOL--POOR HEALTH?
K8.3,NOT IN SCHOOL--EXPELLED?
K8.4,NOT IN SCHOOL--HOME SCHOOLING?
K8.5,NOT IN SCHOOL--TOO FAR AWAY?
K8.7,NOT IN SCHOOL--DOESNT WANT TO STUDY?
K8.8,NOT IN SCHOOL--HAS TO WORK TO HELP FAMILY
K8.6,NOT IN SCHOOL--OTHER REASON?
K8.11.1,WINTER--HOURS_DAY PLAYING
K8.11.2,SPRING--HOURS_DAY PLAYING
K8.11.3,SUMMER--HOURS_DAY PLAYING
K8.11.4,AUTUMN--HOURS_DAY PLAYING
K8.12.1,NON-SCHOOL--KARATE_SWIMS?
K8.12.2,NON-SCHOOL--BALL GAMES_BIKE?
K8.12.3,NON-SCHOOL--DANCES_RUNS?
K8.12.4,NON-SCHOOL--SITS AND PLAYS?
K8_1,ATTEND ANY PRE-SCHOOL INSTITUTION?
K8_2,OWNER OF PRE-SCHOOL INSTITUTION
K8.A.1A,NON-SCHOOL--KARATE_SWIMS?
K8.A.1B,"KARATE, ETC.--HOURS_WEEK"
K8.A.1C,"KARATE, ETC.MIN_WEEK"
K8.A.2A,NON-SCHOOL--BALLGAMES_BIKE?
K8.A.2B,"BALLGAMES, ETC.--HOURS_WEEK"
K8.A.2C,"BALLGAMES, ETC.MIN_WEEK"
K8.A.3A,NON-SCHOOL-DANCES_RUNS?
K8.A.3B,"DANCES, ETC.--HOURS_WEEK"
K8.A.3C,"DANCES, ETC.MIN_WEEK"
K8.A.4A,NON-SCHOOL--SITS AND PLAYS?
K8.A.4B,PLAYS SITTING--HOURS_WEEK
K8.A.4C,PLAYS SITTING--MIN_WEEK
K8.13,NON SCHOOL--REGULAR PHYS. ACT.?
K81311A,DRAWING_MUSIC OUTSIDE ED.?
K81311B,DRAWING_MUSIC OUTSIDE E--HOURS_WEEK
K81311C,DRAWING_MUSIC OUTSIDE E--MIN_WEEK
K81312A,DANCES OUTSIDE ED.?
K81312B,DANCES OUTSIDE E--HOURS_WEEK
K81312C,DANCES OUTSIDE E--MIN_WEEK
K81314A,OTHER SUBJECTS OUTSIDE ED.?
K81314B,OTHER SUBJECTS OUTSIDE E--HOURS_WEEK
K81314C,OTHER SUBJECTS OUTSIDE E--MIN_WEEK
K81315A,FOREIGN LANGUAGES OUTSIDE ED.?
K81315B,FOREIGN LANGUAGES OUTSIDE E--HOURS_WEEK
K81315C,FOREIGN LANGUAGES OUTSIDE E--MIN_WEEK
K8.14,NON-SCHOOL--PHYS. ACT. HRS_WEEK
K8.151A,NON-SCHOOL--WATCHES TV?
K8.151B,NON-SCHOOL--TV HOURS_DAY
K8.151C,NON-SCHOOL--TV MIN_DAY
K8.152A,NON-SCHOOL--READS?
K8.152B,NON-SCHOOL--READING HOURS_DAY
K8.152C,NON-SCHOOL--READING MIN_DAY
K8.153A,NON-SCHOOL--PLAYS GAMES?
K8.153B,NON-SCHOOL--GAMES HOURS_DAY
K8.153C,NON-SCHOOL--GAMES MIN_DAY
K81511A,SPORTS WITH PARENTS?
K81511B,SPORTS WITH PARENTS--HOURS_WEEK
K81511C,SPORTS WITH PARENTS--MIN_WEEK
K81512A,CREATIVITY WITH PARENTS?
K81512B,CREATIVITY WITH PARENTS--HOURS_WEEK
K81512C,CREATIVITY WITH PARENTS--MIN_WEEK
K81513A,DEEPER STUDYING WITH PARENTS?
K81513B,DEEPER STUDYING WITH PARENTS--HOURS_WEEK
K81513C,DEEPER STUDYING WITH PARENTS--MIN_WEEK
K816.1A,VISITED THEATRES L12M?
K816.1B,VISITED THEATRES WITH PARENTS--TIMES?
K816.1C,VISITED THEATRES WITHOUT PARENTS--TIMES?
K816.2A,EXCURSIONS L12M?
K816.2B,EXCURSIONS WITH PARENTS--TIMES?
K816.2C,EXCURSIONS WITHOUT PARENTS--TIMES?
K8.17,SPENT HOLIDAYS WITH CHILD L12M?
K8.18,MEET SOMEONE OF THE SAME AGE?
K8.19.1,WALKING WITH FRIENDS?
K8.19.2,ASSOCIATE WITH FRIENDS AT HOME?
K8.19.3,ASSOCIATE AT STUDY GROUPS?
K8.19.4,ASSOCIATE ON EXCURSIONS?
K8.20,MEET SOMEONE OF THE SAME AGE--FREQ
K9,NON-HH MEMBER CARED FOR LAST 7D?
K10,NON-HH RELATIVE CARED FOR L7D?
K11,# DAYS NON-HH RELATIVE CARED FOR
K12,HOURS_DAY NON-HH REL. CARED FOR--C.K12
K12A,HOURS_DAY NON-HH REL. CARED FOR
K12B,MIN_DAY NON-HH REL. CARED FOR
K13,WENT TO KINDERGARTEN LAST 7 DAYS?
K14,NUMBER OF DAYS AT KINDERGARTEN
K15,HOURS PER DAY AT KINDERGARTEN
K15A,HOURS PER DAY AT KINDERGARTEN
K15B,MINUTES PER DAY AT KINDERGARTEN
K16,OWNER OF KINDERGARTEN
K17,NON-RELATIVE CARED FOR LAST 7D?
K18,# DAYS NON-RELATIVE CARED FOR
K19,HOURS_DAY NON-RELATIVE CARED FOR
K19A,HOURS_DAY NON-RELATIVE CARED FOR
K19B,MIN_DAY NON-RELATIVE CARED FOR
K20.0,PAID FOR CHILD CARE LAST 7 DAYS?
K20,PAID FOR CHILD CARE FOR SOMEONE WHO IS NOT A MEMBER OF YOUR HOUSEHOLD--LAST DAYS
K21,COST OF CHILD CARE LAST 7 DAYS
L81.1,HEALTH MEASURES--COLD TRAINING?
L81.2,HEALTH MEASURES--DIETARY?
L81.3,HEALTH MEASURES--VITAMINS?
L81.4,HEALTH MEASURES--DAY REGIMEN?
L81.5,HEALTH MEASURES--SPORT TRAININGS?
L81.6,HEALTH MEASURES--SAUNA?
L81.7,HEALTH MEASURES--FRESH AIR?
L81.8,HEALTH MEASURES--OTHER?
M20.68,NASOPHARYNX DISEASE
O6,WORKED ON FAMILY FARM LAST 7 DAYS?
O7A,HOURS LAST 7 DAYS--FAMILY FARM
O7B,MINUTES LAST 7 DAYS--FAMILY FARM
O8,WORKED ELSEWHERE IN LAST 7 DAYS?
O9A,HOURS LAST 7 DAYS--ELSEWHERE
O9B,MINUTES LAST 7 DAYS--ELSEWHERE
O10,ATTENDED SCHOOL IN LAST 7 DAYS?
O11A,HOURS LAST 7 DAYS--AT SCHOOL
O11B,MINUTES LAST 7 DAYS--AT SCHOOL
O12A,HOURS LAST 7 DAYS--SCHOOL COMMUTE
O12B,MIN. LAST 7 DAYS--SCHOOL COMMUTE
O13A,HOURS L7D STUDYING OUTSIDE SCHOOL
O13B,MIN. L7D STUDYING OUTSIDE SCHOOL
S1.1,SOME OTHER MEMBER OF THE HOUSEHOLD
S1.2,"OTHER PEOPLE, NOT MEMBERS OF THE HOUSEHOLD"
S2,ASSESS THE RESPONDENT`S ATTITUDE TOWARD THE INTERVIEW.
S3,NOTE HOW THE RESPONDENT UNDERSTOOD THE QUESTIONS:
S4,ASSESS THE RESPONDENT`S BEHAVIOR DURING THE INTERVIEW:
S5,ASSESS THE RESPONDENT`S SHARPNESS.
S6,ASSESS THE SINCERITY AND OPENNESS OF THE RESPONDENT.
S7,ASSESS WHETHER IN YOUR OPINION THE INFORMATION IS RELIABLE:
S1.1_L,SOME OTHER MEMBER OF THE HOUSEHOLD
S1.2_L,"OTHER PEOPLE, NOT MEMBERS OF THE HOUSEHOLD"
S2_L,ASSESS THE RESPONDENT`S ATTITUDE TOWARD THE INTERVIEW.
S3_L,NOTE HOW THE RESPONDENT UNDERSTOOD THE QUESTIONS:
S4_L,ASSESS THE RESPONDENT`S BEHAVIOR DURING THE INTERVIEW:
S5_L,ASSESS THE RESPONDENT`S SHARPNESS.
S6_L,ASSESS THE SINCERITY AND OPENNESS OF THE RESPONDENT.
S7_L,ASSESS WHETHER IN YOUR OPINION THE INFORMATION IS RELIABLE
